offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
7340091001892354476	2016-10-11T00:00:00+03:00	2017-04-26T00:00:00+03:00	4990000.0	5	False	2	False	52.0	7.0	30.0		0.0	1	2	Россия, Санкт-Петербург, Гаванская улица, 12	4518918858627106999
7796697348180974592	2018-02-20T00:00:00+03:00	2018-02-21T00:00:00+03:00	21000.0	6	False	1	False	40.0	9.0	19.0	50.0		2	2	Россия, Санкт-Петербург, проспект Маршала Жукова, 43к1	5167719149498033538
6279287428940513947	2018-02-26T00:00:00+03:00	2018-06-10T00:00:00+03:00	4500000.0	4	False	2	False	47.0	7.5	26.3			1	2	Россия, Санкт-Петербург, улица Котина, 7к1	4748912015298160057
2141945989195584001	2017-08-14T00:00:00+03:00	2017-09-01T00:00:00+03:00	25000.0	3	False	2	False	50.0	7.0	31.0	80.0	3.0	2	2	Россия, Санкт-Петербург, улица Маршала Захарова, 17к1	6700167350879666318
2332956270741623784	2017-01-01T00:00:00+03:00	2017-02-06T00:00:00+03:00	11065262.0	10	False	3	False	110.01	19.44	55.81		0.0	1	2	Россия, Санкт-Петербург, Московский проспект, 183-185Б	2589121538591859519
2554639205114440957	2017-06-29T00:00:00+03:00	2018-02-07T00:00:00+03:00	4850000.0	8	False	2	False	58.1	10.4	31.9		0.0	1	2	Россия, Ленинградская область, Всеволожск, Василеозерская улица, 2	5479003920409977156
6484009593417552641	2017-06-12T00:00:00+03:00	2017-08-07T00:00:00+03:00	21000.0	5	False	2	False	42.0	6.0	28.0	50.0	0.0	2	2	Россия, Санкт-Петербург, улица Грибалёвой, 10	8102269398540833670
6276742484652901906	2016-10-12T00:00:00+03:00	2017-08-08T00:00:00+03:00	25000.0	10	False	1	False	39.0	11.0	19.0		0.0	2	2	Россия, Санкт-Петербург, Кушелевская дорога, 5к3	7274736308217969985
2096658380575936731	2015-12-20T00:00:00+03:00	2016-08-09T00:00:00+03:00	2779358.0	13	False	1	False	28.0		20.0		0.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 14к5	7076615050583062322
1621661778906580736	2018-08-15T00:00:00+03:00	2018-08-20T00:00:00+03:00	60000.0	4	False	3	False	83.0	22.0	38.0	70.0	10.0	2	2	Россия, Санкт-Петербург, Социалистическая улица, 10/9	2377387097668755338
